reviewer,title,paper_id,inclusion_IAM,extent,location,biome,discipline,concerns,notes1,notes2,projected,observed,new_data,huc6,topic
pe,"alpine glaciers and permanent ice and snow patches in western canada approach their smallest sizes since the mid-holocene, consistent with global trends",471,impacts,western us,na/not appropriate for point data,alpine/tundra,hydrology,"carbon dating doesn't fit well with topics listed. this is not really a hydro paper, but geography doesn't seem to capture the underlying concern of glacier recession and it's relationship to water quantity...among other concerns.",NA,NA,no,yes,no,"kooteney, okanagan, columbia","snow, glaciers, water quantity, carbon cycle, dendrochronology"
cc,tracking interannual streamflow variability with drought indices in the u.s. pacific northwest,473,impacts,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,NA,no,no,no,"0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402, 0102, 0103, 0200, 0300, 0601, 0701, 0800, 0601, 0701, 0502, 0702, 0501, 0200, 0703, 0800, 0900, 1002","temperature, precipitation, climate oscillations, streamflow/stream forecasting, water quantity"
mf,extent of the rain-snow transition zone in the western u.s. under historic and projected climate,474,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,NA,NA,NA,yes,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, water quantity"
am,"catchment-scale modeling of nitrogen dynamics in a temperate forested watershed, oregon. an interdisciplinary communication strategy",475,impacts,1 - 100 km2,"hj andrews experimental forest; 44.2122196,-122.2574345",forest: temperate,"hydrology, environmental chemistry and toxicology",NA,NA,NA,no,no,no,0900,"temperature, precipitation, soils, management, carbon cycle"
pe,recent declines in western u.s. snowpack in the context of twentieth-century climate variability,477,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, snow, climate oscillations, streamflow/stream forecasting, water quantity, management"
am,visualizing spatial heterogeneity of western u.s. climate variability,478,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,not very specifically about climate change.,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, climate oscillations"
AM,Restoring fire-prone Inland Pacific landscapes: seven core principles,48,adaptation,western us,Inland Pacific,"grassland: temperate, forest: temperate, desert: semi-arid desert",biology/ecology,NA,NA,NA,NA,NA,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, timber production/silviculture, restoration, wildfire, forest ecology, policy, management"
cc,statistical comparisons of watershed-scale response to climate change in selected basins across the united states,481,impacts,western us,this study includes a case study map with more than 5 study locations over large extent,n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",u.s scale,NA,NA,yes,no,no,"0102, 0300","temperature, precipitation, streamflow/stream forecasting, water quality, alternative energy"
am,summertime climate response to mountain pine beetle disturbance in british columbia,484,impacts,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,"meteorology and climatology, biology/ecology",climate feedbacks not super well captured by our topics list.,NA,bark beetle disturbance in b.c. creates a climate feedback equivalent to about 1c temperature rise in the summer.,no,no,no,"kooteney, okanagan, columbia","temperature, precipitation, streamflow/stream forecasting, pests and disease, species range shifts, wildfire, timber production/silviculture, forest ecology"
mf,"genetic responses to climate in <i xmlns=""http://www.w3.org/1999/xhtml"">pinus contorta</i>: niche breadth, climate change, and reforestation.",485,impacts,pacific northwest,this study includes a case study map with more than 5 study locations over large extent,forest: temperate,forestry,NA,NA,NA,no,no,yes,"0102, 0601, 0702, 0900, kooteney, okanagan, columbia","temperature, precipitation, species range shifts, timber production/silviculture, forest ecology, genetics"
am,interannual variations in snowpack in the crown of the continent ecosystem.,486,impacts,25000 - 40000 km2,"crown of the continent ecosystem; 49.229678, -114.977418","alpine/tundra, forest: temperate","meteorology and climatology, hydrology",NA,NA,glaciers have receded in this area; snow is primarily precip-controlled and they don't attribute a trend in snowpack to climate change (pdo instead).,no,yes,no,"0102, columbia, okanagan","temperature, precipitation, snow, glaciers, climate oscillations"
pe,flood quantiles in a changing climate: seasonal forecasts and causal relations.,488,impacts,western us,"clark fork; 48.047105, -115.879053",freshwater: streams and rivers,hydrology,NA,NA,NA,no,yes,no,0102,"precipitation, climate oscillations, streamflow/stream forecasting, water quantity, management, natural disasters, mathematics, land use/land cover"
am,"assessing the past and future distribution and productivity of ponderosa pine in the pacific northwest using a process model, 3-pg.",489,impacts,pacific northwest,na/not appropriate for point data,forest: temperate,biology/ecology,NA,NA,NA,yes,yes,no,"0102, 0103, 0200, 0300, 0601, 0701, 0800, 0601, 0701, 0502, 0702, 0501, 0200, 0703, 0800, 0900, 1002","temperature, precipitation, species range shifts, forest ecology"
DH,Automated mapping of persistent ice and snow cover across the western US with Landsat,49,impacts,western us,Western United States,"alpine/tundra, forest: temperate",meteorology and climatology,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, glaciers, streamflow/stream forecasting, water quality"
cc,a two-parameter climate elasticity of streamflow index to assess climate change effects on annual streamflow.,492,impacts,25000 - 40000 km2,"spokane river; 47.929487, -118.183840",n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",methods heavy comparative study with china.,NA,NA,yes,no,no,0103,"temperature, precipitation, streamflow/stream forecasting, water quantity"
mf,regional analysis of the impacts of climate change on cheatgrass invasion shows potential risk and opportunity.,495,impacts,pacific northwest,na/not appropriate for point data,"grassland: temperate, desert: semi-arid desert",biology/ecology,NA,NA,NA,yes,no,no,"0200, 0402, 0501, 0502, 0601, 0702, 0703","temperature, precipitation, river geomorphology and restoration, species invasion, pests and disease, species range shifts"
sh,local-scale validation of the surface observation gridding system with weather observations in a semi-arid environment.,497,impacts,100 - 1500 km2,"o'neal ecological reserve; 42.781583, -112.039086","grassland: temperate, desert: semi-arid desert",meteorology and climatology,NA,NA,NA,no,no,no,0402,"temperature, precipitation, other"
pe,"modeling amphibian energetics, habitat suitability, and movements of western
toads, anaxyrus (=bufo) boreas, across present and future landscapes",498,impacts,1 - 100 km2,"stamp meadows; 44.508439, -111.382218","freshwater: ponds and lakes, freshwater: wetlands",biology/ecology,NA,NA,NA,no,no,no,0402,"temperature, precipitation, snow, water quantity, aquatic habitat, soils, terrestrial wildlife, forest ecology"
am,comparison of growth and stress in resident redband trout held in laboratory simulations of montane and desert summer temperature cycles.,499,impacts,25000 - 40000 km2,this study includes a case study map with more than 5 study locations over large extent,freshwater: streams and rivers,biology/ecology,NA,NA,NA,no,no,yes,0501,"temperature, water quality, non-anadromous fish"
DH,"Precipitation-snowmelt timing and snowmelt augmentation of large peak flow events, western Cascades, Oregon",50,impacts,1 - 100 km2,"44.2115852,-122.256941",forest: temperate,hydrology,NA,NA,NA,no,no,no,0900,"temperature, precipitation, snow, streamflow/stream forecasting, river geomorphology and restoration, water quantity, soils"
am,"long-term snow, climate, and streamflow trends at the reynolds creek experimental watershed, owyhee mountains, idaho, united states.",501,impacts,100 - 1500 km2,"reynolds creek experimental watershed; 43.238183,-116.8531838","grassland: temperate, forest: temperate","meteorology and climatology, hydrology",NA,NA,NA,no,yes,no,0501,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity"
cc,current health issues and management strategies for white pines in the western united states and canada.,502,adaptation,western us,na/not appropriate for point data,forest: temperate,forestry,not extensively about climate change. more of a managing for forest health in the face of an uncertain future sort of paper...,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","temperature, precipitation, species range shifts, pests and disease, forest ecology, policy, management"
pe,shifts in western north american snowmelt runoff regimes for the recent warm decades.,503,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402, 0102, 0103, 0200, 0300, 0601, 0701, 0800","temperature, precipitation, snow, streamflow/stream forecasting, water quantity, management"
am,climate influences the demography of three dominant sagebrush steppe plants.,504,impacts,point,"u.s. sheep experiment station; 44.2, -112.1",desert: semi-arid desert,biology/ecology,NA,NA,NA,no,no,no,0402,"temperature, precipitation, snow, species range shifts, forest ecology, botany"
mf,sensitivity of the north american monsoon to antecedent rocky mountain snowpack.,505,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),hydrology,NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, climate oscillations, water quantity"
am,"transition from sagebrush steppe to annual grass (<i xmlns=""http://www.w3.org/1999/xhtml"">bromus tectorum</i>): influence on belowground carbon and nitrogen.",506,impacts,pacific northwest,"owyhee; 41.54761696,-116.88509809; roberts; 43.76891468,-112.28263537; moses coulee; 47.61747465,-119.68126830",grassland: temperate,biology/ecology,includes oregon interior basins (1200),NA,NA,no,no,yes,"0200, 0402","temperature, precipitation, species range shifts, soils, carbon cycle"
pe,modelling climate change impacts on spring runoff for the rocky mountains of montana and alberta ii: runoff change projections using future scenarios.,508,impacts,1500 - 2500 km2,"st. marys river; 50.100000, -116.250000",freshwater: streams and rivers,"meteorology and climatology, hydrology",NA,NA,NA,yes,no,no,0102,"temperature, precipitation, snow, climate oscillations, streamflow/stream forecasting, water quantity, soils, management"
am,"periglacial debris-flow initiation and susceptibility and glacier recession from imagery, airborne lidar, and ground-based mapping.",509,impacts,100 - 1500 km2,"mount rainier; 46.8306779,-121.7523357",alpine/tundra,hydrology,NA,NA,NA,no,no,yes,0800,"temperature, precipitation, glaciers, streamflow/stream forecasting, soils, natural disasters"
AM,"Stream Temperature Regimes and the Distribution of the Rocky Mountain Tailed Frog at its Northern Range Limit, Southeastern British Columbia",51,impacts,100 - 1500 km2,"49.0180331,-115.7001007; 49.091206,-114.5479427","forest: temperate, freshwater: wetlands, freshwater: streams and rivers",biology/ecology,Difficult to code spatial extent accurately - they have two small study areas.,NA,NA,no,no,yes,kooteney,"temperature, water quality, aquatic habitat, amphibians, precipitation, snow, aquatic habitat, species range shifts, forest ecology"
cc,"assessing streamflow sensitivity to temperature increases in the salmon river basin, idaho.",510,impacts,25000 - 40000 km2,this study includes a case study map with more than 5 study locations over large extent,n/a (not biome specific or all biomes - see codebook),hydrology,NA,good water and climate change analysis on the salmon,NA,yes,no,no,0602,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity"
cc,downscaling extremes - an intercomparison of multiple statistical methods for present climate.,511,impacts,pacific northwest,"kootenay; 49.059741, -117.048725; golden; 51.310286, -117.249219; mt fidelity; 51.236827, -117.731238",n/a (not biome specific or all biomes - see codebook),meteorology and climatology,methods paper,NA,NA,no,no,no,columbia,"temperature, precipitation, snow, mathematics"
sh,height-growth response to climatic changes differs among populations of douglas-fir: a novel analysis of historic data.,512,impacts,40000 km2 - PNW,"na/not appropriate for point data, northern district usfs",forest: temperate,biology/ecology,NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0603","temperature, precipitation, streamflow/stream forecasting, species range shifts, timber production/silviculture, forest ecology"
pe,"estimates of carbon stored in harvested wood products from the united states forest service northern region, 1906-2010.",513,mitigation,pacific northwest,"na/not appropriate for point data, northern district usfs",forest: temperate,forestry,NA,NA,NA,no,no,no,"0101, 0102, 0103, 0603","temperature, precipitation, timber production/silviculture, forest ecology, management, carbon cycle, carbon cycle, policy"
mf,spatial heterogeneity in ecologically important climate variables at coarse and fine scales in a high-snow mountain landscape.,516,impacts,100 - 1500 km2,"mount rainier; 46.8306779,-121.7523357","alpine/tundra, forest: temperate",biology/ecology,NA,NA,NA,no,no,yes,0800,"temperature, precipitation, snow, terrestrial wildlife, species range shifts, forest ecology"
cc,stream isotherm shifts from climate change and implications for distributions of ectothermic organisms.,517,impacts,25000 - 40000 km2,"boise river; 43.745364, -117.031485",freshwater: streams and rivers,biology/ecology,stream temperature study; mostly presenting a model the application section was small,NA,NA,yes,no,no,0501,"temperature, precipitation, streamflow/stream forecasting, river geomorphology and restoration, water quality, water quantity, salmon/anadromous fish, management, aquatic habitat, species range shifts"
DH,Soil Respiration and Bacterial Structure and Function after 17 Years of a Reciprocal Soil Transplant Experiment,52,impacts,1 - 100 km2,"46.4056877,-119.7506608",desert: semi-arid desert,biology/ecology,NA,NA,NA,no,no,yes,0701,"temperature, precipitation, streamflow/stream forecasting, groundwater, water quantity, terrestrial wildlife, pests and disease, soils, policy, carbon cycle"
mf,using climate-fvs to project landscape-level forest carbon stores for 100 years from field and lidar measures of initial conditions.,521,mitigation,100 - 1500 km2,"moscow mountain; 46.8035162,-116.903792",forest: temperate,forestry,NA,NA,NA,yes,no,yes,"0601, 0601, 0601","temperature, precipitation, timber production/silviculture, forest ecology, carbon cycle"
sh,interannual variation in biomass burning and fire seasonality derived from geostationary satellite data across the contiguous united states from 1995 to 2011.,523,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),biogeoscience,NA,NA,NA,no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, climate oscillations, wildfire"
pe,patterns and variability of projected bioclimatic habitat for pinus albicaulis in the greater yellowstone area,524,impacts,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,forestry,NA,NA,NA,yes,no,no,"0401, 0402","temperature, precipitation, snow, groundwater, water quantity, species range shifts, forest ecology, management"
sh,amphibians in the climate vise: loss and restoration of resilience of montane wetland ecosystems in the western us.,525,adaptation,western us,na/not appropriate for point data,"freshwater: ponds and lakes, freshwater: wetlands",biology/ecology,NA,NA,NA,no,no,no,"0102, 0103, 0200, 0300, 0601, 0701, 0800, 0601, 0701, 0502, 0702, 0501, 0200, 0703, 0800, 0900, 1002","temperature, precipitation, snow, lacustrine systems, non-anadromous fish, aquatic habitat, policy, management, species invasion"
sh,"modeling ecohydrological impacts of land management and water use in the silver creek basin, idaho.",528,impacts,1 - 100 km2,"silver creek, id; 43.313108, -114.114637",freshwater: streams and rivers,engineering,NA,NA,NA,yes,no,no,0402,"temperature, precipitation, streamflow/stream forecasting, river geomorphology and restoration, groundwater, water quality, water quantity, salmon/anadromous fish, non-anadromous fish, aquatic habitat, management"
DH,Consequences of mountain pine beetle outbreak on forest ecosystem services in western Canada,53,adaptation,western us,British Columbia,forest: temperate,forestry,Funky Ecosystem services perspective doesnt translate to coding super well,NA,NA,no,yes,no,"kooteney, okanagan, columbia","temperature, snow, streamflow/stream forecasting, aquatic habitat, species invasion, pests and disease, species range shifts, timber production/silviculture, forest ecology, community resilience, attitudes and beliefs, policy, management, other"
sh,climate trends but little net water supply shift in one of canada's most water-stressed regions over the last century.,532,impacts,25000 - 40000 km2,"okanogan river british columbia; 49.9246415,-120.0967949",n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,NA,no,yes,no,okanagan,"temperature, precipitation, climate oscillations, streamflow/stream forecasting, water quantity"
cc,climate change adaptation and restoration of western trout streams: opportunities and strategies.,533,adaptation,25000 - 40000 km2,"43.5155767,-112.0253193; 46.8909618,-115.1323657",freshwater: streams and rivers,policy or management,NA,NA,NA,no,no,yes,0102,"temperature, precipitation, streamflow/stream forecasting, river geomorphology and restoration, water quality, water quantity, non-anadromous fish, management"
pe,using custom scientific workflow software and gis to inform protected area climate adaptation planning in the greater yellowstone ecosystem.,534,adaptation,25000 - 40000 km2,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),biology/ecology,NA,NA,NA,yes,no,yes,"0401, 0402","temperature, precipitation, snow, groundwater, water quantity, species invasion, forest ecology, soils, policy, management, terrestrial wildlife, species range shifts"
sh,a new framework for spatio-temporal climate change impact assessment for terrestrial wildlife.,535,impacts,40000 km2 - PNW,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),management,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402","temperature, precipitation, snow, terrestrial wildlife, species range shifts, management"
mf,geologic and geomorphic controls on the occurrence of fens in the oregon cascades and implications for vulnerability and conservation.,536,impacts,1500 - 2500 km2,"deschutes river; 44.6589029,-122.426818",freshwater: wetlands,"hydrology, geology",NA,NA,NA,no,no,yes,0703,"groundwater, water quantity, soils"
CMC,Snow avalanches in western Canada: investigating change in occurrence rates and implications for risk assessment and mitigation,54,impacts,western us,British Columbia,"alpine tundra, forest: temperate",engineering,big dataset over western canada.,NA,NA,no,no,no,"kooteney, okanagan, columbia","temperature, precipitation, snow, policy, management, climate variability, Temperature"
am,are high-severity fires burning at much higher rates recently than historically in dry-forest landscapes of the western usa?,540,impacts,western us,na/not appropriate for point data,forest: temperate,biology/ecology,NA,NA,suggests that fire under climate change is returning to historic conditions (pre fire suppression).,yes,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, wildfire, timber production/silviculture, forest ecology, management"
mf,forest managers' response to climate change science: evaluating the constructs of boundary objects and organizations.,542,adaptation,40000 km2 - PNW,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),"forestry, anthropology/sociology, policy or management",NA,NA,NA,no,no,yes,"0102, 0101, 0102, 0103, 0603, 0601, 0602, 0502, 0501, 0401, 0402","temperature, precipitation, water quantity, timber production/silviculture, attitudes and beliefs, policy, management"
sh,regional carbon cycle responses to 25 years of variation in climate and disturbance in the us pacific northwest.,544,impacts,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),biology/ecology,NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, pests and disease, wildfire, forest ecology, carbon cycle, carbon cycle, land use/land cover"
mf,surface water input from snowmelt and rain throughfall in western juniper: potential impacts of climate change and shifts in semi-arid vegetation.,546,impacts,100 - 1500 km2,"reynolds creek experimental watershed; 43.238183,-116.8531838",desert: semi-arid desert,hydrology,NA,NA,NA,yes,no,yes,0501,"temperature, precipitation, snow, streamflow/stream forecasting, forest ecology"
sh,regeneration of montane forests 24 years after the 1988 yellowstone fires: a fire-catalyzed shift in lower treelines?,549,impacts,40000 km2 - PNW,na/not appropriate for point data,forest: temperate,forestry,NA,NA,NA,no,yes,yes,0401,"temperature, wildfire, forest ecology, management, natural disasters"
sh,human-induced modifications to land surface fluxes and their implications on water management under past and future climate change conditions.,554,impacts,25000 - 40000 km2,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,NA,NA,NA,yes,no,no,"0402, 0501, 0602","temperature, precipitation, streamflow/stream forecasting, groundwater, water quantity, management"
am,"annual and decadal climate forcing of historical fire regimes in the interior pacific northwest, usa",555,impacts,1500 - 2500 km2,"tucannon river; 46.4708575,-118.0869354; imnaha river; 45.1035491,-117.1103902; baker river; 44.8387601,-117.8420278",forest: temperate,"meteorology and climatology, forestry",NA,NA,NA,no,no,no,"0200, 0502, 0601, 0701, 0702, 0703","temperature, precipitation, climate oscillations, wildfire, forest ecology, dendrochronology"
sh,hydroclimate of the western united states based on observations and regional climate simulation of 1981-2000. part ii: mesoscale enso anomalies,556,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,NA,NA,NA,no,yes,no,"0200, 0300, 0701, 0702, 0703, 0900","temperature, precipitation, snow, climate oscillations, streamflow/stream forecasting, water quantity"
am,statistical precipitation downscaling over the northwestern united states using numerically simulated precipitation as a predictor,557,impacts,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,NA,NA,NA,no,no,no,"0102, 0103, 0200, 0300, 0601, 0701, 0800, 0601, 0701, 0502, 0702, 0501, 0200, 0703, 0800, 0900, 1002","temperature, precipitation"
DH,How Does Availability of Meteorological Forcing Data Impact Physically Based Snowpack Simulations?,56,impacts,western us,"Western United States, 43.0869263,-116.758084","alpine tundra, forest: temperate",meteorology and climatology,NA,NA,NA,no,no,yes,0501,"temperature, precipitation, snow, streamflow/stream forecasting, water quantity"
sh,transient future climate over the western united states using a regional climate model,560,impacts,western us,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,NA,NA,NA,yes,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, climate oscillations, mathematics"
mf,"long-duration drought variability and impacts on ecosystem services: a case study from glacier national park, montana",561,impacts,1500 - 2500 km2,"glacier national park, montana, 48.6602627,-114.1260342","alpine/tundra, forest: temperate","meteorology and climatology, biology/ecology",NA,NA,NA,no,no,yes,0102,"temperature, precipitation, glaciers, snow, climate oscillations, wildfire, water quality, water quantity, forest ecology, dendrochronology, other"
sh,"the effect of observation time and sampling frequency on mean daily maximum, minimum and average temperature.",564,impacts,100 - 1500 km2,"reynolds creek experimental watershed; 43.238183,-116.8531838",n/a (not biome specific or all biomes - see codebook),"hydrology, forestry",NA,NA,NA,no,no,yes,0501,"temperature, precipitation, forest ecology, soils"
sh,areal extent of seasonal snow cover in a changed climate.,565,impacts,1 - 100 km2,"illecillewaet river bc; 50.9865654,-118.1955959",n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,NA,yes,no,no,okanagan,"temperature, precipitation, streamflow/stream forecasting, water quantity"
pe,potential climate change impacts on mountain watersheds in the pacific northwest.,567,impacts,1500 - 2500 km2,"46.9713424,-121.2771215; 48°35′n 113°55′w",freshwater: streams and rivers,"meteorology and climatology, hydrology",NA,NA,NA,yes,no,no,"0101, 0300","temperature, precipitation, snow, streamflow/stream forecasting, climate oscillations, water quantity, management"
cc,the effect of climate change on floods in british columbia.,568,impacts,1500 - 2500 km2,"selkirk mountains bc; 49.880489, -117.561393",n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,interesting older study related to quantitative cc impacts,NA,yes,no,no,kooteney,"temperature, precipitation, streamflow/stream forecasting, water quantity"
mf,pacific northwest regional assessment: the impacts of climate variability and climate change on the water resources of the columbia river basin.,569,impacts,pacific northwest,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),meteorology and climatology,NA,NA,NA,yes,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia","temperature, precipitation, snow, climate oscillations, streamflow/stream forecasting, water quantity, aquatic habitat, forest ecology, agriculture, management"
MF,Historical spatial patterns and contemporary tree mortality in dry mixed-conifer forests,57,impacts,25000 - 40000 km2,"47.5832638,-115.60183; 45.9165842,-116.5254657",forest: temperate,forestry,NA,NA,NA,no,no,yes,"0102, 0103","species range shifts, wildfire, timber production/silviculture, forest ecology, management"
mf,"are climate-tree growth relationships changing in north-central idaho, u.s.a.?",570,impacts,1 - 100 km2,"salmon river, 44.9186509,-116.4193603,362887",forest: temperate,"meteorology and climatology, forestry",NA,NA,NA,no,yes,yes,0602,"temperature, precipitation, snow, timber production/silviculture, forest ecology, dendrochronology"
sh,a comparison of delta change and downscaled gcm scenarios for three mountainous basins in the united states.,571,impacts,100 - 1500 km2,"benton county washington; 46.2812592,-119.9693879",n/a (not biome specific or all biomes - see codebook),"meteorology and climatology, hydrology",NA,NA,NA,yes,no,no,0300,"temperature, precipitation, streamflow/stream forecasting"
sh,"modelling conifer species distributions in mountain forests of washington state, usa.",575,impacts,25000 - 40000 km2,na/not appropriate for point data,forest: temperate,"forestry, biology/ecology",NA,NA,NA,no,no,no,"0200, 0300","temperature, precipitation, snow, streamflow/stream forecasting, species range shifts, timber production/silviculture, forest ecology, soils, management, geography"
am,"carbon storage in subalpine tree island, north cascade range, washington.",576,mitigation,100 - 1500 km2,"harts pass; 48.7205549,-120.6785488; heather pass; 48.4950626,-120.782934",forest: temperate,forestry,NA,NA,NA,no,no,yes,0200,"temperature, precipitation, snow, species range shifts, forest ecology, carbon cycle"
mf,"rocky mountain ecosystems: diversity, complexity and interactions.",578,impacts,western us,na/not appropriate for point data,"alpine/tundra, grassland: temperate, forest: temperate","biology/ecology, biology",NA,NA,NA,no,no,no,"kooteney, okanagan, columbia, 0101, 0102, 0103, 0604, 0602, 0401, 0402","temperature, precipitation, species range shifts, forest ecology, terrestrial wildlife, management"
AM,Using spatiotemporal correlative niche models for evaluating the effects of climate change on mountain pine beetle,58,impacts,pacific northwest,Northern Rocky Mountains,forest: temperate,biology/ecology,NA,NA,NA,yes,no,no,"0101, 0102, 0103, 0401, 0402, 0501, 0601, 0602, 0603","temperature, precipitation, species invasion, pests and disease, species range shifts, timber production/silviculture, forest ecology"
sh,a bird's eye view of small tenure holdings in british columbia.,582,impacts,pacific northwest,na/not appropriate for point data,forest: temperate,"forestry, policy or management",NA,NA,NA,no,no,no,"kooteney, okanagan, columbia","temperature, precipitation, pests and disease, species range shifts, wildfire, timber production/silviculture, forest ecology, policy, management"
am,the metagovernance of climate change: institutional adaptation to the mountain pine beetle epidemic in british columbia.,584,adaptation,40000 km2 - PNW,"this study includes a case study map with more than 5 study locations over large extent, salmon arm; 50.7010132,-119.353061; invermere; 50.4995918,-116.0681114",forest: temperate,"forestry, policy or management",NA,NA,NA,no,no,yes,"kooteney, okanagan, columbia","temperature, pests and disease, timber production/silviculture, community resilience, attitudes and beliefs, policy, management"
sh,has spring snowpack declined in the washington cascades?,586,impacts,40000 km2 - PNW,na/not appropriate for point data,n/a (not biome specific or all biomes - see codebook),hydrology,NA,NA,NA,no,yes,no,"0102, 0103, 0200, 0300","temperature, precipitation, snow"
DH,Riparian Vegetation Communities of the American Pacific Northwest are Tied to Multi-Scale Environmental Filters,59,impacts,pacific northwest,Columbia River Basin,"alpine/tundra, grassland: temperate, forest: temperate",biology/ecology,NA,NA,NA,no,no,yes,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002","temperature, precipitation, snow, river geomorphology and restoration, aquatic habitat, species range shifts, forest ecology, agriculture, management, riparian ecology, soils"
mf,learning to deal with climate change and catastrophic forest disturbances.,590,adaptation,40000 km2 - PNW,this study includes a case study map with more than 5 study locations over large extent,forest: temperate,forestry,NA,NA,NA,no,no,no,"kooteney, okanagan, columbia","temperature, species invasion, pests and disease, species range shifts, wildfire, timber production/silviculture, forest ecology, policy, management"
sh,controls on the temporal and spatial variability of soil moisture in a mountainous landscape: the signature of snow and complex terrain.,591,impacts,1 - 100 km2,"dry creek experimental watershed; 43.7302536,-116.8469864","forest: temperate, desert: semi-arid desert",hydrology,NA,NA,NA,no,no,yes,0501,"temperature, precipitation, snow, water quantity, soils"
