Timestamp,Your Name,Title of paper: please copy-paste from the spreadsheet.,"Paper ID: in column ""final_id""","Is this paper in the Columbia River Basin, and does it most address climate change impacts, adaptation, or mitigation? If the answer is ""None of these"", leave the rest of the answers blank.","If this paper addresses impacts then select the type of impact. If not, skip the question.","What is the spatial resolution of data in this paper? (i.e., minimum unit of observation)",What is the spatial extent of data in this paper? ,"Where was the study conducted? Please copy-paste coordinates of your best approximation of the study location in google maps. If you click something besides ""other"", then no need to fill out HUCs.",In what biome(s) is this research conducted? ,"If the paper has a smaller spatial extent than the Pacific Northwest, what HUC 6 watersheds was the study in? (Select watershed if in Canada; leave out the starting ""17"").",What type of data was used in this study?,What discipline(s) does this study address? (Check multiple boxes for interdisciplinary).,What topics does this study address? ,List concerns or uncertainty when coding this paper. ,Copy and paste or summarize content related to our research questions. ,Copy and paste or summarize content related to research in mountainous environments. 
1/6/2018 10:36:53,MF,Impacts of climate change on August stream discharge in the Central-Rocky Mountains,138,Impacts,Observed impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho and Wyoming,Freshwater: streams and rivers,"0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0602 - Salmon, 0603 - Clearwater","Gridded, Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study, Policy data, aerial photos",Hydrology,"Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Salmon, Aquatic habitat",,,
1/20/2018 11:16:11,AM,"Trace element and major ion concentrations and dynamics in glacier snow and melt: Eliot Glacier, Oregon Cascades",139,None of these or not in the CRB,,,,,,,,,,No discussion of climate change,,
3/6/2018 20:20:05,SH,"Trace element and major ion concentrations and dynamics in glacier snow and melt: Eliot Glacier, Oregon Cascades",139,None of these or not in the CRB,,,,,,,,,,does not mention climate change,,
2/3/2018 21:19:08,PE,Lakes and forests as determinants of downstream nutrient concentrations in small mountain watersheds,140,Impacts,Climate change implications,Point or plot scale,Point or plot scale,"44.0559305,-115.0861919","Alpine/tundra, Freshwater: ponds and lakes, Freshwater: streams and rivers",0602 - Salmon,Point data collected specifically for this study,"Hydrology, Environmental chemistry and toxicology","Water quality, Forest Ecology",,,
2/1/2018 13:23:44,SH,Lakes and forests as determinants of downstream nutrient concentrations in small mountain watersheds,140,Impacts,Climate change implications,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"44.1189903,-114.9687075",Freshwater: streams and rivers,0602 - Salmon,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study","Hydrology, Ecology","Water quality, Aquatic habitat",,,
1/10/2018 8:38:36,AM,Ice thickness and topographic relief in glaciated landscapes of the western USA,141,Impacts,Climate change implications,Point or plot scale,Unclear: Tetons and Bitterroots,"43.7809425,-110.9498577",Alpine tundra,"0401 - Snake headwaters, 0402 - Upper Snake","Gridded, Point data collected specifically for this study",Hydrology,"Glaciers, Geology; Plate tectonics",,,
2/5/2018 20:48:56,CMC,Ice thickness and topographic relief in glaciated landscapes of the western USA,141,None of these or not in the CRB,,,,,,,,,,Western US but really the Sierra Nevadas,,
1/30/2018 15:37:36,DH,Western Canadian glaciers advance in concert with climate change circa 4.2 ka,142,EWWWW PALEO,,,,,,,,,,Super Paleo,,
1/30/2018 12:05:55,MF,Western Canadian glaciers advance in concert with climate change circa 4.2 ka,142,None of these or not in the CRB,,,,,,,,,,Paleoclimate ,,
1/27/2018 16:24:17,MF,"Midge-inferred Holocene summer temperatures in Southeastern British Columbia, Canada",143,Paleo-climate,,,,,,,,,,,,
1/25/2018 16:19:52,PE,"Midge-inferred Holocene summer temperatures in Southeastern British Columbia, Canada",143,Paleo Climate,,,,,,,,,,,,
2/12/2018 10:49:04,CMC,"Alpine Treeline of Western North America: Linking Organism-To-Landscape Dynamics
",144,Impacts,Climate change implications,Review Paper,Western US and/or Western US plus Canada,Western United States,Alpine/tundra,,Review,Ecology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Range Shifts, Timber production/Silviculture, Forest Ecology, Attitudes and Beliefs, microclimates and scales",This paper is an important review paper to be aware of in our analysis,"Our purpose here is to examine the processes that link treeline to local and regional controls, and so improve our expectations for their response to climate change.",This article is the outcome of a workshop sponsored by the USGS Western Mountain Initiative 
1/27/2018 15:20:28,DH,Alpine treeline of Western North America: Linking organism-to-landscape dynamics,144,None of these or not in the CRB,,,,,,,,,,Conceptual paper with no actual study location. Relevant to the CRB but not our corpus,,
1/20/2018 11:20:49,AM,"Twentieth-century trends in runoff, evapotranspiration, and soil moisture in the western United States",145,Impacts,"Observed impacts, Climate change implications",100 km2 - 500 km2 (HUC 12 is 100 km2),Western US and/or Western US plus Canada,Western United States,"Alpine/tundra, Grassland: temperate, Forest: temperate, Freshwater: streams and rivers",,Gridded or polygons,"Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Soils",,,
3/6/2018 20:30:01,SH,"Twentieth-century trends in runoff, evapotranspiration, and soil moisture in the western United States",145,Impacts,Observed impacts,100 km2 - 500 km2 (HUC 12 is 100 km2),Western US and/or Western US plus Canada,Western United States,,,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation",,,
2/3/2018 21:24:03,PE,Changing temperatures influence suitability for modeled mountain pine beetle (Dendroctonus ponderosae) outbreaks in the western United States,146,Impacts,"Projected impacts, Observed impacts",Western US and/or Western US plus Canada,Western US and/or Western US plus Canada,Western United States,,,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Forestry,"Temperature, Pests and disease, Range Shifts, Forest Ecology",,,
2/1/2018 13:34:49,SH,Changing temperatures influence suitability for modeled mountain pine beetle (Dendroctonus ponderosae) outbreaks in the western United States,146,Impacts,"Observed impacts, Climate change implications",Point or plot scale,Western US and/or Western US plus Canada,Western United States,,,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study","Forestry, Ecology","Temperature, Pests and disease, Forest Ecology",,,
1/4/2018 5:08:12,CMC,"Postglacial record of diatom assemblage changes related to climate in an alpine lake in the northern Rocky Mountains, Canada
",147,None of these or not in the CRB,,,,,,,,,,I don't think this paper should be in the corpus. The lake included is well outside of the Basin in Northern BC and the paper is mostly about Paleoclimate/holocene. ,Some of the citations in the lit review section sound more relevant ,
1/7/2018 14:50:18,MF,"Postglacial record of diatom assemblage changes related to climate in an alpine lake in the northern Rocky Mountains, Canada",147,None of these or not in the CRB,,,,,,,,,,not in CRB,,
1/4/2018 5:26:53,CMC,Twentieth-century decline in streamflows from the hydrographic apex of North America,148,Impacts,"Observed impacts, Climate change implications",Point or plot scale,"Western US and/or Western US plus Canada, A little unsure since it is focused on three drainages to three different oceans",free flowing rivers starting at the triple divide,Freshwater: streams and rivers,"Kooteney (Canada), Columbia (Canada)",Points in an observation network (e.g. SNOTEL),Hydrology,Streamflow/stream forecasting,"The focus of the study is the Missouri River, but several data points and some of the analysis focuses on the Columbia. Mostly because the research is trying to analyze changes in streamflow in free flowing rivers. ",,"cite for: scarce data in mountainous environments, stream flows as surrogates for precipitation in data scarce mountain environments. "
1/7/2018 14:59:21,MF,Twentieth-century decline in streamflows from the hydrographic apex of North America,148,Impacts,"Observed impacts, Climate change implications",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",,"Alpine tundra, Forest: temperate","0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters, 0501 - Middle Snake - Boise, 0601 - Lower Snake, 0703 - Deschutes, Kooteney (Canada), Columbia (Canada), Okanagan (Canada)",Points in an observation network (e.g. SNOTEL),Hydrology,"Streamflow/stream forecasting, Water quantity, Management",,,
1/4/2018 5:44:59,CMC,Insect seasonality: circle map analysis of temperature-driven life cycles,149,Impacts,Projected impacts,Point or plot scale,"900m2 - 1km2, 2 study areas both in central Idaho","44.188983, -114.558662",Forest: temperate,"0402 - Upper Snake, 0602 - Salmon","Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Biology,"Temperature, Forest Ecology",,,
1/7/2018 15:10:03,MF,Insect seasonality: circle map analysis of temperature-driven life cycles,149,Impacts,"Observed impacts, Climate change implications",Point or plot scale,hard to quantify,"48.7333217,-120.8079693; 43.914002,-114.8791449","Alpine tundra, Grassland: temperate, Forest: temperate","0402 - Upper Snake, 0602 - Salmon","Point data NOT collected specifically for this study, Mathematical models","Biology, Math and Statistics ","Temperature, Pests and disease, Forest Ecology, entomology",,,
1/4/2018 5:56:24,CMC,Changes in snowmelt runoff timing in western North America under a 'business as usual' climate change scenario,150,Impacts,"Projected impacts, Observed impacts, Climate change implications","Point or plot scale, 900m2 - 1km2, 5 degree climate data",Western US and/or Western US plus Canada,Western United States,Freshwater: streams and rivers,,"Gridded, Points in an observation network (e.g. SNOTEL)","Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting",A lot of moving pieces to the data collection. Large scale study. Selected freshwater biome because it is a stream forecasting study,"justification for looking at spatial variability: The timing of snowmelt runoff in rivers of western North America is not only a function of latitude, but is also strongly dependent on the local climatic and physiographic setting of each watershed. 2. The greatest Central Timing trends have occurred in the Paciﬁc Northwest, Canada, Alaska, and the mountain plateaus of Washington, Oregon, and western Idaho",
1/17/2018 13:54:35,DH,Changes in snowmelt runoff timing in western North America under a 'business as usual' climate change scenario,150,Impacts,Projected impacts,Point or plot scale,Western US and/or Western US plus Canada,Western United States,"Alpine/tundra, Grassland: temperate, Forest: temperate, Forest: boreal (N of 50 degrees), Desert: semi-arid desert, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",,"Gridded, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Groundwater, Water quality, Water quantity, Management",,,
1/7/2018 18:04:35,CMC,Hydroclimate of the western United States based on observations and regional climate simulation of 1981-2000. part II: Mesoscale ENSO anomalies,151,Impacts,"Observed impacts, Climate change implications",>10km2 - 100km2 (smaller than HUC 12),Western US and/or Western US plus Canada,Western United States,,,"Gridded, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation, Streamflow/stream forecasting, Orographic effects",broad western US climate overview ,,"Good paper to cite for leading paper on mesoscale climate effects and orographic influences. ""Although much of the climate variations in the western United States are captured at the larger scales, the effects of topography are not negligible. Most notably, the largest dry anomalies during El Nin˜o years in the Northwest are found on the windward side of the Cascades and the northern Rockies. The rest of the PNW region typically shows very small anomalies except on the lee side of the mountains (e.g., northeast of the
Olympic Mountains and the Cascades) where regions of positive anomalies are often found instead"" p. 1917"
1/22/2018 11:29:51,DH,Hydroclimate of the western United States based on observations and regional climate simulation of 1981-2000. part II: Mesoscale ENSO anomalies,151,Impacts,"Observed impacts, Climate change implications",>10km2 - 100km2 (smaller than HUC 12),,Western United States,"Alpine/tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert, Freshwater: ponds and lakes, Freshwater: wetlands, Freshwater: streams and rivers",,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Management",the focus is on the PNW but it is generally housing that within the western enso forecasting...,,
1/7/2018 18:17:35,CMC,Statistical precipitation downscaling over the Northwestern United States using numerically simulated precipitation as a predictor,152,Impacts,Observed impacts,1-900 m2 (1-30m; Landsat size or smaller),"Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2)",Columbia River Basin,,,"Gridded, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation",GCM downscaling methods paper. Not particularly relevant,,
2/4/2018 17:09:13,CMC,"Statistical Precipitation Downscaling over the Northwestern United States Using Numerically Simulated Precipitation as a Predictor*
",152,Impacts,Observed impacts,>10km2 - 100km2 (smaller than HUC 12),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Washington, Oregon",,"0300 - Yakima, 0502 - Middle Snake - Powder, 0702 - John Day, 0800 - Lower Columbia, 0900 - Willamette, 1002 - Northern Oregon Coastal",Gridded or polygons,Meteorology and Climatology,"Temperature, Precipitation",pretty broad oregon and washington focus,,
2/1/2018 20:33:28,CMC,SPATIAL VARIABILITY IN WATER-BALANCE MODEL PERFORMANCE IN THE CONTERMINOUS UNITED STATE,152,None of these or not in the CRB,,,,,,,,,,water balance for the entire US,,
2/4/2018 17:12:19,CMC,SPATIAL VARIABILITY IN WATER-BALANCE MODEL PERFORMANCE IN THE CONTERMINOUS UNITED STATES,153,None of these or not in the CRB,,,,,,,,,,Modeling study across the US. Maybe worth a better look as several sites are in the US but seems pretty broad. ,,
2/3/2018 7:50:28,CMC,A comparison of delta change and downscaled GCM scenarios for three mountainous basins in the United States,154,Impacts,Projected impacts,Point or plot scale,Western US and/or Western US plus Canada,"47.203941, -120.952351 (study area point within CRB)","Forest: temperate, Freshwater: streams and rivers",0300 - Yakima,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation, Streamflow/stream forecasting",three areas in the western us were modeled. One of the areas in the CRB (Cle Elum),Paper is focused on downscaling climate models to consider streamflow in mountainous watersheds. ,
2/1/2018 12:20:57,PE,A comparison of delta change and downscaled GCM scenarios for three mountainous basins in the United States,154,Impacts,Projected impacts,>1km2 - 10km2 (city of Moscow is 2.6 km2),1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"46.751324,-123.436635",,0200 - Upper Columbia,Gridded or polygons,Hydrology,"Temperature, Precipitation, Snow",,,
1/11/2018 8:39:42,AM,Potential climate chance impacts on mountain watersheds in the Pacific Northwest,155,Impacts,Projected impacts,900m2 - 1km2,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","48.389574,-113.6945857; 46.9713584,-121.4872337","Forest: temperate, Freshwater: streams and rivers","0102 - Pend Oreille, 0300 - Yakima",Gridded,"Meteorology and Climatology, Hydrology","Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity",,,Stands out as an older (1999) paper that was probably a leader in its time - downscaled climate model --> hydrology model --> identifies importance of regional variability in climate impacts.
1/12/2018 7:43:45,CMC,Potential climate chance impacts on mountain watersheds in the Pacific Northwest,155,Impacts,"Observed impacts, Climate change implications",1-900 m2 (1-30m; Landsat size or smaller),"100 km2 - 500 km2 (HUC 12 is 100 km2), 1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2), Pacific Northwest (e.g., Idaho, Washington, and Oregon) - about HUC 2 size (660,000 km2), The study includes 2 case studies in the CRB. Broad analysis of cc in the PNW and specific modeling at the two sites. ","Site 1: 48.2606407, -113.5850635; Site 2: 46.969367, -121.226308",Forest: temperate,"0102 - Pend Oreille, 0300 - Yakima",Gridded,Meteorology and Climatology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Policy, some light policy discussion at the end: impact assessments to be useful for water managers, they need to transform the primary physical effects, such as changes in snowpack and streamfiow, into options for revising water resources management policies related to water availability, use, distribution, and operation p. 1470",,"""Predicting the changes in water resources under climate change has been very challenging because of uncertainties and the lack of spatial specificity in the climate predictions"" p. 1463. The paper is from 1999, probably good for seminal work. ",
2/12/2018 10:53:01,CMC,Influence of late-holocene climate on northern rocky mountain mammals,156,None of these or not in the CRB,,,,,,,,,,not sure how this one made it through. very paleo,,
1/16/2018 11:23:23,DH,Influence of late-Holocene climate on northern Rocky Mountain mammals,156,None of these or not in the CRB,,,,,,,,,,paleo- yes its in the holocene but still paleo...,,
2/3/2018 7:57:06,CMC,Effects of N management on N2O and CH4 fluxes and N-15 - Recovery in an irrigated mountain meadow,158,None of these or not in the CRB,,,,,,,,,,https://link.springer.com/article/10.1007/BF00704312 ,,
2/1/2018 12:23:38,PE,Effects of N management on N2O and CH4 fluxes and N-15 - Recovery in an irrigated mountain meadow,158,,,,,,,,,,,Article not available online,,
2/1/2018 20:40:00,CMC,CORRELATION OF LATE PLEISTOCENE GLACIATION IN THE WESTERN UNITED-STATES WITH NORTH-ATLANTIC HEINRICH EVENTS,159,Impacts,Climate change implications,Point or plot scale,Western US and/or Western US plus Canada,,Alpine/tundra,,Point data NOT collected specifically for this study,Geology,Glaciers,a lot of paleo...,,
2/12/2018 11:31:30,CMC,"CHANGES IN GLACIER AND ALPINE RUNOFF IN THE NORTH CASCADE RANGE, WASHINGTON, USA 1985-1993 ",160,Impacts,Observed impacts,Point or plot scale,"25,000 km2 - 40,000km2 (HUC 6 is 27,443 km2)","48.7, -121.4","Alpine/tundra, Grassland: temperate, Forest: temperate, Freshwater: streams and rivers",0200 - Upper Columbia,"Points in an observation network (e.g. SNOTEL), Point data NOT collected specifically for this study",Hydrology,"Temperature, Precipitation, Snow, Glaciers, Streamflow/stream forecasting, Lacustrine Systems, Water quantity",,"This paper examines recent changes in North Cascade alpine streamflow to identify the magnitude and timing of runoff changes, the sensisitivity of alpine runoff to temperature and precipitation, and the degree to which glaciers affect the changes in timing and magnitude of runoff in alpine basins","North Cascade glaciers are an important natural resource because they contribute 20-25% of the region's total summer water supply (Post et af., 1971; Pelto, 1992). In the past water resources have been sufficient regardless of climate. However, the continued rapid development in the Puget Sound region has increased demand. At the same time, the summer water supply has decreased. The consequence has been water shortages in the North Cascades area in 1985, 1987, 1992 and 1994 (Kresch, 1994). Thus, today, water resource management requires consideration of the changing contribution of glaciers"
2/12/2018 17:52:18,CMC,EFFECT OF SIMULATED CLIMATE CHANGE ON SNOWMELT RUNOFF MODELING IN SELECTED BASINS,160,None of these or not in the CRB,,,,,,,,Hydrology,,"In the present study, two western U.S. basins where SRM was used in previous simulations were used, namely, the Rio Grande basin in Colorado and the Kings River basin in California (see Figure 1). ","This paper focuses on the expected temperature increase and the corresponding adjustment of the model parameters to reflect the changed hydrologic basin conditions. In this study, a 5°C temperature increase is used for most of the projections of warming. It is on the high side of the range for the western United States during the snowmelt season (Gutowski et al., 1988), but it tends to illustrate what some of the extreme hydrologic effects could be","Snowmelt from high-relief mountain basins is the economic lifeblood for many areas around the globe. For example, in the western United States, snowmelt runoff provides 55-95 percent of the water used for agriculture, domestic supplies, and recreation (Shafer et al. 1982). Looks familiar. 
"
2/4/2018 16:55:53,CMC,EFFECT OF SIMULATED CLIMATE-CHANGE ON SNOWMELT RUNOFF MODELING IN SELECTED BASINS,160,None of these or not in the CRB,,,,,,,,,,,,
2/1/2018 12:30:49,PE,EFFECT OF SIMULATED CLIMATE-CHANGE ON SNOWMELT RUNOFF MODELING IN SELECTED BASINS,160,None of these or not in the CRB,,,,,,,,,,California and Rio Grande Basin in SW,,
1/20/2018 11:06:05,AM,SENSITIVITY OF PACIFIC-NORTHWEST WATER-RESOURCES TO GLOBAL WARMING,161,Not available; discontinued journal,,,,,,,,,,,,
1/13/2018 7:29:58,CMC,SENSITIVITY OF PACIFIC-NORTHWEST WATER-RESOURCES TO GLOBAL WARMING,161,,,,,,,,,,,Full text not available online. Published in a regional journal that was not fully digitized. Publication stopped in 1993 too. Maybe available in physical archives somewhere. ,,
2/12/2018 21:11:22,CMC,"Tree mortality from drought, insects, and their interactions in a
changing climate",162,Impacts,Climate change implications,Review/Conceptual Modeling,Western US and/or Western US plus Canada,Western United States,Forest: temperate,,Review,Ecology,"Temperature, Precipitation, Streamflow/stream forecasting, Species Invasion, Pests and disease, Range Shifts, Drought",Nicely written review on beetles and drought. A hard one to stop reading. ,"Forest mortality can have manifold
consequences for biodiversity, ecosystem function and services, and
feedbacks to climate change through biophysical effects and loss of
carbon sinks (Adams et al., 2010; Anderegg et al., 2013).",
1/16/2018 11:30:01,DH,"Tree mortality from drought, insects, and their interactions in a changing climate",162,Impacts,Projected impacts,>10km2 - 100km2 (smaller than HUC 12),Western US and/or Western US plus Canada,Western United States,Forest: temperate,,Gridded,Forestry,"Temperature, Precipitation, Snow, Species Invasion, Pests and disease, Wildfire, Timber production/Silviculture, Forest Ecology, Soils, Policy, Management",UNSURE OF THE SPATIAL RESOLUTION,,
1/6/2018 11:52:38,MF,Contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"45.4404143,-117.4135942",Grassland: temperate,"0502 - Middle Snake - Powder, 0601 - Lower Snake","Gridded, Point data collected specifically for this study, Point data NOT collected specifically for this study, soil classification/ polygons",Ecology,"Species Invasion, Range Shifts, Forest Ecology",,,
2/3/2018 14:51:31,PE,Contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,Impacts,Observed impacts,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"45.4705264,-117.8528051",,0601 - Lower Snake,"Gridded or polygons, Point data collected specifically for this study",Ecology,"Temperature, Precipitation, Species Invasion, Range Shifts, Soils, Management",Sub-alpine ,,
2/12/2018 21:15:11,CMC,"Vegetative and climatic controls on Holocene wildfire and erosion recorded  in alluvial fans of the Middle Fork Salmon River, Idaho
",164,None of these or not in the CRB,,,,,,,,,,Quite a focus on Paleo,,
1/22/2018 11:38:16,DH,"Vegetative and climatic controls on Holocene wildfire and erosion recorded in alluvial fans of the Middle Fork Salmon River, Idaho",164,Paleo,,,,,,,,,,PALEO carbon dating,,
1/11/2018 8:46:42,AM,Patterns of terrestrial and limnologic development in the northern Greater Yellowstone Ecosystem (USA) during the late-glacial/early-Holocene transition,165,None of these or not in the CRB,,,,,,,,,,paleo,,
1/18/2018 13:29:31,CMC,Patterns of terrestrial and limnologic development in the northern Greater Yellowstone Ecosystem (USA) during the late-glacial/early-Holocene transition,165,None of these or not in the CRB,,,,,,,,,,"This paper examines early postglacial ecosystem development in the
Greater Yellowstone region during the period from ca. 16,000 to ca.
7000 cal yr BP based on pollen, charcoal, diatom, and lithologic data
from Dailey Lake, MT",,
2/1/2018 20:51:01,CMC,Baseflow recession analysis in the inland Pacific Northwest of the United States,166,Impacts,Observed impacts,Point or plot scale,,,,"0200 - Upper Columbia, 0601 - Lower Snake, 0603 - Clearwater",Points in an observation network (e.g. SNOTEL),"Hydrology, Geology","Temperature, Precipitation, Streamflow/stream forecasting, Groundwater, Water quantity",Good maps of study areas. Difficult to characterize in our spreadsheet,"The Pacific Northwest of the United States (PNW) has
been recognized as a particularly sensitive region to climate
variability.  Overall, a consensus exists that snowdominated
watersheds within the PNW will potentially
experience spring runoff episodes up to 4 weeks earlier.
Future climate scenarios for the PNW (Mote and Salathé
2010) project a warming of 0.1–0.6 °C per decade.
Furthermore, Mayer (2012) found that baseflow is one of
the major factors controlling summer thermal regimes across
the region with a mean sensitivity of 0.47 °C (stream)/°C
(air).","Groundwater systems feeding streams during
the driest months can drop to less than 1 mm of
effective storage in these sensitive systems. In contrast,
the minimum annual storage in mountainous systems
can have greater than 10 mm effective storage"
2/12/2018 21:22:01,CMC,The controversial management of fire in the national forests of Idaho and western Montana ,167,Adaptation,,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Idaho, Montana",Forest: temperate,"0200 - Upper Columbia, 0401 - Snake headwaters, 0402 - Upper Snake",Review,Forestry,"Temperature, Precipitation, Wildfire, Forest Ecology, Policy, Management",Sort of a weird review paper. Questions reflected in next cell. ," In ponderosa pine–Douglas-fir forests of the montane zone, how have fire regimes evolved and contributed to shape these forests? Why and how have fire management and associated methods evolved? To what extent are the objectives and results of the USFS’s management practices consistent with existing scientific opinions?
",
2/1/2018 12:36:54,PE,The controversial management of fire in the national forests of Idaho and western Montana,167,Impacts,Climate change implications,,,"Idaho, Montana",,,Review,Forestry,"Wildfire, Forest Ecology, Management",Subalpine environment,,
1/11/2018 8:53:46,AM,"Managing for climate change on federal lands of the western United States: perceived usefulness of climate science, effectiveness of adaptation strategies, and barriers to implementation",168,Adaptation,,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho and Montana,Forest: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0103 - Spokane, 0603 - Clearwater","Primary social data (e.g., interviews conducted for this study)",Policy or management,"Timber production/Silviculture, Forest Ecology, Management",,"Looks at how relevant climate science is for USFS managers via interviews - might be a relevant paper to talk about in intro or dicussion. In general, seems like managers have trouble findings climate science useful.",
1/18/2018 13:54:59,CMC,"Managing for climate change on federal lands of the western United States: perceived usefulness of climate science, effectiveness of adaptation strategies, and barriers to implementation",168,Adaptation,,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Idaho, Montana",Forest: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater","Primary social data (e.g., interviews conducted for this study), Secondary social data (e.g., census data, existing survey data), Policy data",Policy or management,"Timber production/Silviculture, Attitudes and Beliefs, Policy, Management",Workshops conducted at four static locations but it seemed silly to add them as GPS points since the people participating in the workshops work all over Idhao and Montana,"over longer time scales, it will be important to invest in additional research on and monitoring of management strategies that are considered potentially effective but are currently not widely implemented because this may increase the probability of their future adoption by agencies.p. 17. This bit ties in with some of our objectives.",
2/12/2018 21:32:08,CMC,"Debris flow initiation in proglacial gullies on Mount Rainier, Washington",169,Impacts,Observed impacts,Point or plot scale,100 km2 - 500 km2 (HUC 12 is 100 km2),"46.78, -121.75",Alpine/tundra,0800 - Lower Columbia,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Geomorphology,"Glaciers, Streamflow/stream forecasting, River geomorphology and restoration, Forest Ecology, Debris Flows",,,
1/16/2018 11:39:17,DH,"Debris flow initiation in proglacial gullies on Mount Rainier, Washington",169,Impacts,Climate change implications,Point or plot scale,>10km2 - 100km2 (smaller than HUC 12),"46.8523056,-121.7778325",Alpine tundra,"0701 - Middle Columbia, 0800 - Lower Columbia","Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Geology,"Temperature, Precipitation, Snow, Glaciers, Water quality, Community resilience (human), Management",,,
1/6/2018 12:05:37,MF,Diversifying managed forests to increase resilience,170,Adaptation,,Point or plot scale,100 km2 - 500 km2 (HUC 12 is 100 km2),"49.0029658,-119.9863032",Forest: temperate,Okanagan (Canada),"Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology, Management",,,
1/6/2018 12:16:21,MF,Harvesting the dead and decaying forests: Potential carbon storage in harvested wood products,171,Adaptation,,1 cubic meter (data are volumetric),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",British Columbia,Forest: temperate,"Kooteney (Canada), Columbia (Canada), Okanagan (Canada)","Secondary social data (e.g., census data, existing survey data), Policy data, volumetric emmission and carbon storage data",Forestry,"Pests and disease, Timber production/Silviculture, Forest Ecology, Management, Carbon Emissions, Alternative Energy",,,
3/6/2018 20:36:30,SH,Harvesting the dead and decaying forests: Potential carbon storage in harvested wood products,171,None of these or not in the CRB,,,,,,,,,,doesn't mention climate change,,
