reviewer,title,paper_id,inclusion_IAM,impacts,resolution,extent,location,biome,huc6,data_type,discipline,topic,concerns,notes1,notes2
CMC,EFFECT OF SIMULATED CLIMATE CHANGE ON SNOWMELT RUNOFF MODELING IN SELECTED BASINS,160,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,Hydrology,NA,"In the present study, two western U.S. basins where SRM was used in previous simulations were used, namely, the Rio Grande basin in Colorado and the Kings River basin in California (see Figure 1).","This paper focuses on the expected temperature increase and the corresponding adjustment of the model parameters to reflect the changed hydrologic basin conditions. In this study, a 5°C temperature increase is used for most of the projections of warming. It is on the high side of the range for the western United States during the snowmelt season (Gutowski et al., 1988), but it tends to illustrate what some of the extreme hydrologic effects could be","Snowmelt from high-relief mountain basins is the economic lifeblood for many areas around the globe. For example, in the western United States, snowmelt runoff provides 55-95 percent of the water used for agriculture, domestic supplies, and recreation (Shafer et al. 1982). Looks familiar. 
"
CMC,EFFECT OF SIMULATED CLIMATE-CHANGE ON SNOWMELT RUNOFF MODELING IN SELECTED BASINS,160,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,Hydrology,NA,NA,NA,NA
PE,EFFECT OF SIMULATED CLIMATE-CHANGE ON SNOWMELT RUNOFF MODELING IN SELECTED BASINS,160,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,Hydrology,NA,California and Rio Grande Basin in SW,NA,NA
AM,SENSITIVITY OF PACIFIC-NORTHWEST WATER-RESOURCES TO GLOBAL WARMING,161,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMC,SENSITIVITY OF PACIFIC-NORTHWEST WATER-RESOURCES TO GLOBAL WARMING,161,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Full text not available online. Published in a regional journal that was not fully digitized. Publication stopped in 1993 too. Maybe available in physical archives somewhere.,NA,NA
CMC,"Tree mortality from drought, insects, and their interactions in a changing climate",162,Impacts,Climate change implications,Review/Conceptual Modeling,Western US and/or Western US plus Canada,Western United States,Forest: temperate,All in CRB U.S.,Review,Ecology,"Temperature, Precipitation, Streamflow/stream forecasting, Species Invasion, Pests and disease, Range Shifts, Drought, Snow, Wildfire, Timber production/Silviculture, Forest Ecology, Soils, Policy, Management",Nicely written review on beetles and drought. A hard one to stop reading.,"Forest mortality can have manifold
consequences for biodiversity, ecosystem function and services, and
feedbacks to climate change through biophysical effects and loss of
carbon sinks (Adams et al., 2010; Anderegg et al., 2013).",NA
DH,"Tree mortality from drought, insects, and their interactions in a changing climate",162,Impacts,Climate change implications,>10km2 - 100km2 (smaller than HUC 12),Western US and/or Western US plus Canada,Western United States,Forest: temperate,All in CRB U.S.,Review,Ecology,"Temperature, Precipitation, Streamflow/stream forecasting, Species Invasion, Pests and disease, Range Shifts, Drought, Snow, Wildfire, Timber production/Silviculture, Forest Ecology, Soils, Policy, Management",UNSURE OF THE SPATIAL RESOLUTION,NA,NA
MF,Contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,Impacts,Climate change implications,Point or plot scale,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","45.4705264,-117.8528051","Forest: temperate, Grassland: temperate","0502 - Middle Snake - Powder, 0601 - Lower Snake","Gridded, Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Species Invasion, Range Shifts, Forest Ecology, Temperature, Precipitation, Soils, Management",NA,NA,NA
PE,Contrasting distribution patterns of invasive and naturalized non-native species along environmental gradients in a semi-arid montane ecosystem,163,Impacts,Climate change implications,Point or plot scale,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","45.4705264,-117.8528051","Forest: temperate, Grassland: temperate","0502 - Middle Snake - Powder, 0601 - Lower Snake","Gridded, Point data collected specifically for this study, Point data NOT collected specifically for this study",Ecology,"Species Invasion, Range Shifts, Forest Ecology, Temperature, Precipitation, Soils, Management",Sub-alpine,NA,NA
CMC,"Vegetative and climatic controls on Holocene wildfire and erosion recorded  in alluvial fans of the Middle Fork Salmon River, Idaho
",164,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quite a focus on Paleo,NA,NA
DH,"Vegetative and climatic controls on Holocene wildfire and erosion recorded in alluvial fans of the Middle Fork Salmon River, Idaho",164,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,PALEO carbon dating,NA,NA
AM,Patterns of terrestrial and limnologic development in the northern Greater Yellowstone Ecosystem (USA) during the late-glacial/early-Holocene transition,165,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,paleo,NA,NA
CMC,Patterns of terrestrial and limnologic development in the northern Greater Yellowstone Ecosystem (USA) during the late-glacial/early-Holocene transition,165,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This paper examines early postglacial ecosystem development in the
Greater Yellowstone region during the period from ca. 16,000 to ca.
7000 cal yr BP based on pollen, charcoal, diatom, and lithologic data
from Dailey Lake, MT",NA,NA
AM,Baseflow recession analysis in the inland Pacific Northwest of the United States,166,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"45.9251896,-116.1373441",NA,NA,Points in an observation network (e.g. SNOTEL),Hydrology,"Temperature, Precipitation,Streamflow/stream forecasting, Groundwater, Water quantity",Climate change connection is somewhat tenuous,NA,NA
CMC,Baseflow recession analysis in the inland Pacific Northwest of the United States,166,Impacts,Climate change implications,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"45.9251896,-116.1373441",NA,NA,Points in an observation network (e.g. SNOTEL),Hydrology,"Temperature, Precipitation,Streamflow/stream forecasting, Groundwater, Water quantity",Good maps of study areas. Difficult to characterize in our spreadsheet,"The Pacific Northwest of the United States (PNW) has
been recognized as a particularly sensitive region to climate
variability.  Overall, a consensus exists that snowdominated
watersheds within the PNW will potentially
experience spring runoff episodes up to 4 weeks earlier.
Future climate scenarios for the PNW (Mote and Salathé
2010) project a warming of 0.1–0.6 °C per decade.
Furthermore, Mayer (2012) found that baseflow is one of
the major factors controlling summer thermal regimes across
the region with a mean sensitivity of 0.47 °C (stream)/°C
(air).","Groundwater systems feeding streams during
the driest months can drop to less than 1 mm of
effective storage in these sensitive systems. In contrast,
the minimum annual storage in mountainous systems
can have greater than 10 mm effective storage"
CMC,The controversial management of fire in the national forests of Idaho and western Montana,167,Adaptation,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Idaho, Montana",Forest: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater",Review,Forestry,"Temperature, Precipitation, Wildfire, Forest Ecology, Policy, Management",Sort of a weird review paper. Questions reflected in next cell.,"In ponderosa pine–Douglas-fir forests of the montane zone, how have fire regimes evolved and contributed to shape these forests? Why and how have fire management and associated methods evolved? To what extent are the objectives and results of the USFS’s management practices consistent with existing scientific opinions?
",NA
PE,The controversial management of fire in the national forests of Idaho and western Montana,167,Adaptation,Climate change implications,NA,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Idaho, Montana",Forest: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater",Review,Forestry,"Temperature, Precipitation, Wildfire, Forest Ecology, Policy, Management",Subalpine environment,NA,NA
AM,"Managing for climate change on federal lands of the western United States: perceived usefulness of climate science, effectiveness of adaptation strategies, and barriers to implementation",168,Adaptation,NA,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Idaho and Montana,Forest: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater","Primary social data (e.g., interviews conducted for this study), Secondary social data (e.g., census data, existing survey data), Policy data",Policy or management,"Timber production/Silviculture, Attitudes and Beliefs, Policy, Management, Forest Ecology",NA,"Looks at how relevant climate science is for USFS managers via interviews - might be a relevant paper to talk about in intro or dicussion. In general, seems like managers have trouble findings climate science useful.",NA
CMC,"Managing for climate change on federal lands of the western United States: perceived usefulness of climate science, effectiveness of adaptation strategies, and barriers to implementation",168,Adaptation,NA,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Idaho, Montana",Forest: temperate,"0101 - Kootenai, 0102 - Pend Oreille, 0401 - Snake headwaters, 0402 - Upper Snake, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0602 - Salmon, 0603 - Clearwater","Primary social data (e.g., interviews conducted for this study), Secondary social data (e.g., census data, existing survey data), Policy data",Policy or management,"Timber production/Silviculture, Attitudes and Beliefs, Policy, Management, Forest Ecology",Workshops conducted at four static locations but it seemed silly to add them as GPS points since the people participating in the workshops work all over Idhao and Montana,"over longer time scales, it will be important to invest in additional research on and monitoring of management strategies that are considered potentially effective but are currently not widely implemented because this may increase the probability of their future adoption by agencies.p. 17. This bit ties in with some of our objectives.",NA
CMC,"Debris flow initiation in proglacial gullies on Mount Rainier, Washington",169,Impacts,Climate change implications,Point or plot scale,"100 km2 - 1,500 km2","46.8523056,-121.7778325",Alpine/tundra,"0200 - Upper Columbia, 0800 - Lower Columbia","Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Geology,"Glaciers, Streamflow/stream forecasting, River geomorphology and restoration, Forest Ecology, Debris Flows,Temperature, Precipitation, Snow, Glaciers, Water quality, Community resilience (human), Management",NA,NA,NA
DH,"Debris flow initiation in proglacial gullies on Mount Rainier, Washington",169,Impacts,Climate change implications,Point or plot scale,"100 km2 - 1,500 km2","46.8523056,-121.7778325",Alpine tundra,"0200 - Upper Columbia, 0800 - Lower Columbia","Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study, Point data NOT collected specifically for this study",Geology,"Glaciers, Streamflow/stream forecasting, River geomorphology and restoration, Forest Ecology, Debris Flows,Temperature, Precipitation, Snow, Glaciers, Water quality, Community resilience (human), Management",NA,NA,NA
AM,Diversifying managed forests to increase resilience,170,Adaptation,NA,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"49.4148277,-120.5345231",Forest: temperate,Okanagan (Canada),Gridded or polygons,Forestry,"Temperature, Precipitation,Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology, Management",NA,NA,NA
MF,Diversifying managed forests to increase resilience,170,Adaptation,NA,Point or plot scale,1500 km2 - 25000 km2 (HUC 8 is 1800 km2; Latah County is 2800 km2),"49.0029658,-119.9863032",Forest: temperate,Okanagan (Canada),"Gridded, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Forestry,"Temperature, Precipitation,Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology, Management",NA,NA,NA
MF,Harvesting the dead and decaying forests: Potential carbon storage in harvested wood products,171,None of these or not in the CRB,NA,1 cubic meter (data are volumetric),"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",British Columbia,NA,NA,"Secondary social data (e.g., census data, existing survey data), Policy data, volumetric emmission and carbon storage data",Forestry,"Pests and disease, Timber production/Silviculture, Forest Ecology, Management, Carbon Emissions, Alternative Energy",NA,NA,NA
SH,Harvesting the dead and decaying forests: Potential carbon storage in harvested wood products,171,None of these or not in the CRB,NA,NA,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",NA,NA,NA,NA,Forestry,"Pests and disease, Timber production/Silviculture, Forest Ecology, Management, Carbon Emissions, Alternative Energy",doesn't mention climate change,NA,NA
CMC,An Assessment of Methods and Remote-Sensing Derived Covariates for Regional Predictions of 1 km Daily Maximum Air Temperature,172,Impacts,Climate change implications,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","100 km2 - 1,500 km2",Oregon,"Alpine/tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert","0200 - Upper Columbia, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette","Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation, Snow, Agriculture","Great paper, so clearly a geography paper.",Global Historical Climatology Network assembled by the National Oceanic and Atmospheric Administration,NA
DH,An Assessment of Methods and Remote-Sensing Derived Covariates for Regional Predictions of 1 km Daily Maximum Air Temperature,172,Impacts,Climate change implications,900m2 - 1km2,"100 km2 - 1,500 km2",Oregon,"Alpine/tundra, Grassland: temperate, Forest: temperate, Desert: semi-arid desert","0200 - Upper Columbia, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette","Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Meteorology and Climatology,"Temperature, Precipitation, Snow, Agriculture",Seriously don't think this should be added into our corpus.its about how to make models and uses Oregon as an example. Not what were looking for.,NA,NA
CMC,Behavior and nutritional condition buffer a large-bodied endotherm against direct and indirect effects of climate,173,Impacts,Climate change implications,Point or plot scale,"100 km2 - 1,500 km2","Starkey; 45.130, -118.31 and  INL; 43.400, -112.410","Forest: temperate, Desert: semi-arid desert, Grassland: temperate","0402 - Upper Snake, 0601 - Lower Snake","Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Ecology,"Temperature, Terrestrial wildlife, Animal behavior, Range Shifts",Comparative study of two distinct sites in the CRB,NA,NA
MF,Behavior and nutritional condition buffer a large-bodied endotherm against direct and indirect effects of climate,173,Impacts,Climate change implications,Point or plot scale,"100 km2 - 1,500 km2","Starkey; 45.130, -118.31 and  INL; 43.400, -112.410","Forest: temperate, Desert: semi-arid desert, Grassland: temperate","0402 - Upper Snake, 0601 - Lower Snake","Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Ecology,"Temperature, Terrestrial wildlife, Animal behavior, Range Shifts",NA,NA,NA
AM,Idiosyncratic responses of grizzly bear habitat to climate change based on projected food resource changes,174,Impacts,"Projected impacts, Climate change implications",Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","50.4350248,-125.7946621","Alpine/tundra, Grassland: temperate, Forest: temperate","Kooteney (Canada), Columbia (Canada)","Gridded or polygons, Point data NOT collected specifically for this study",Ecology,"Temperature, Precipitation, Terrestrial wildlife, Forest Ecology, Range Shifts",NA,NA,NA
CMC,Idiosyncratic responses of grizzly bear habitat to climate change based on projected food resource changes,174,Impacts,"Projected impacts, Climate change implications","Point or plot scale, 1-900 m2 (1-30m; Landsat size or smaller)","Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","50.4350248,-125.7946621","Alpine/tundra, Grassland: temperate, Forest: temperate","Kooteney (Canada), Columbia (Canada)","Gridded or polygons, Point data NOT collected specifically for this study",Ecology,"Temperature, Precipitation, Terrestrial wildlife, Forest Ecology, Range Shifts",NA,NA,NA
CMC,"Evidence of Climate-Induced Range Contractions in Bull Trout Salvelinus conflentus in a Rocky Mountain Watershed, U.S.A.",175,Impacts,"Observed impacts, Climate change implications",Point or plot scale,"100 km2 - 1,500 km2","45.825158, -113.981747",Freshwater: streams and rivers,0102 - Pend Oreille,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Biology,"Temperature, Snow, Water quality, Non-anadromous fish, Aquatic habitat, Range Shifts, Streamflow/stream forecasting","****I think this study might be just out of the basin. Our objective was to compare site-scale abandonment and colonization probabilities to determine whether they differed and if they were associated with landscape features such as wildfire occurrence and severity, habitat attributes including gradient, width, large wood, temperature, and elevation, and biotic variables such as proximity to strongholds of migratory adults and brook trout presence.","The northern Rocky Mountains, U.S.A. is undergoing climatemediated shifts e.g., reduced annual snowpack, earlier annual peak snowmelt, and winter precipitation switching from snow to rain, that are contributing to changes in hydrologic and thermal regimes [12], [13], [14]. Summer water temperatures have increased up to 0.3uC/decade [15] and summer base flows are declining [16].",NA
PE,"Evidence of Climate-Induced Range Contractions in Bull Trout Salvelinus confluentus in a Rocky Mountain Watershed, USA",175,Impacts,"Observed impacts, Climate change implications",Point or plot scale,"100 km2 - 1,500 km2","45.825158, -113.981747",Freshwater: streams and rivers,0102 - Pend Oreille,"Gridded or polygons, Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Biology,"Temperature, Snow, Water quality, Non-anadromous fish, Aquatic habitat, Range Shifts, Streamflow/stream forecasting",NA,NA,NA
AM,"Hydrologic landscape classification evaluates streamflow vulnerability to climate change in Oregon, USA",176,Impacts,Projected impacts,900m2 - 1km2,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",Oregon,Freshwater: streams and rivers,"0200 - Upper Columbia, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0900 - Willamette","Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Salmon, Aquatic habitat, Geology",NA,NA,NA
CMC,"Hydrologic landscape classification evaluates streamflow vulnerability to climate change in Oregon, USA",176,Impacts,Projected impacts,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Oregon, 44.985688, -119.304963; 44.721841, -123.926688; 45.411231, -122.268741",Freshwater: streams and rivers,"0200 - Upper Columbia, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0900 - Willamette","Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Salmon, Aquatic habitat, Geology",3 study points in Oregon,"For example, expenditures associated
with river and stream restoration in the US exceed
USD 1 billion annually (Bernhardt et al., 2005); with costs
associated with the recovery of Pacific salmon in the Snake
River basin alone projected to exceed USD 300 million annually
(Huppert, 1999). ---Maybe relevant intro. Also crazy that a 2014 paper cites 1999 dollars. Also maybe relevant: As a result, effort and additional analysis
is often required to place the climate information in the context
of the management endpoints of concern and other critical
aspects of the particular decision or management need
(Johnson and Weaver, 2009).",NA
AM,Disturbance Regimes and Stressors,177,None of these or not in the CRB,NA,NA,NA,NA,NA,NA,NA,Ecology,"Temperature, Precipitation, Snow, Glaciers, River geomorphology and restoration, Groundwater, Water quality, Water quantity, Terrestrial wildlife, Species Invasion, Pests and disease, Range Shifts, Wildfire, Timber production/Silviculture, Forest Ecology, Soils, Policy, Management","This is a book chapter, not a peer-reviewed journal article.",NA,NA
DH,Disturbance Regimes and Stressors,177,None of these or not in the CRB,Projected impacts,Point or plot scale,Western US and/or Western US plus Canada,Western United States,NA,NA,Cant access paper,Ecology,"Temperature, Precipitation, Snow, Glaciers, River geomorphology and restoration, Groundwater, Water quality, Water quantity, Terrestrial wildlife, Species Invasion, Pests and disease, Range Shifts, Wildfire, Timber production/Silviculture, Forest Ecology, Soils, Policy, Management",CANT ACCESS PAPER BUT TRIED THE BEST I COULD FROM THE ABSTRACT....,NA,NA
CMC,"Determinants of moth diversity and community in a temperate mountain landscape: vegetation, topography, and seasonality",178,Impacts,Climate change implications,Point or plot scale,"100 km2 - 1,500 km2","44.230320, -122.179438",Forest: temperate,0900 - Willamette,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Ecology,"Temperature, Precipitation, Terrestrial wildlife, Range Shifts, Forest Ecology, Snow, Streamflow/stream forecasting, Management",NA,NA,"High-elevation communities are threatened by contraction of montane meadows and climate change which, given the variability in high-elevation communities, could severely impact the biological diversity of the western Cascades landscape"
DH,"Determinants of moth diversity and community in a temperate mountain landscape: vegetation, topography, and seasonality",178,Impacts,Climate change implications,Point or plot scale,"100 km2 - 1,500 km2","44.3866281,-123.2802311",Forest: temperate,0900 - Willamette,"Points in an observation network (e.g. SNOTEL), Point data collected specifically for this study",Ecology,"Temperature, Precipitation, Terrestrial wildlife, Range Shifts, Forest Ecology, Snow, Streamflow/stream forecasting, Management",NA,NA,NA
CMC,The Uneven Response of Different Snow Measures to Human-Induced Climate Warming,179,Impacts,"Observed impacts, Projected impacts, Climate change implications",1/8x1/8 degree over the western us,Western US and/or Western US plus Canada,Western United States,N/A (not biome specific or all biomes - see codebook),All in CRB U.S.,Gridded or polygons,Meteorology and Climatology,"Temperature, Precipitation, Snow, Water quantity",NA,Relevant broad overview for our work as it is focused on mountain climate across the western US,"we regionally average the snow data into the eight mountain ranges shown in Fig. 1. In mountainous regions, different locations can have very different climatological snow accumulation"
MF,The Uneven Response of Different Snow Measures to Human-Induced Climate Warming,179,Impacts,"Observed impacts, Projected impacts, Climate change implications",1-900 m2 (1-30m; Landsat size or smaller),Western US and/or Western US plus Canada,Western United States,N/A (not biome specific or all biomes - see codebook),All in CRB U.S.,Gridded or polygons,Meteorology and Climatology,"Temperature, Precipitation, Snow, Water quantity",NA,NA,NA
MF,Tree species selection revisited for plantations in the Interior Cedar Hemlock zone of southern British Columbia,180,Adaptation,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)",British Columbia,Forest: temperate,Columbia (Canada),Point data collected specifically for this study,Forestry,"Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology, Management",NA,NA,NA
PE,Tree species selection revisited for plantations in the Interior Cedar Hemlock zone of southern British Columbia,180,Adaptation,Climate change implications,Point or plot scale,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","52.5508952,-125.791183",Forest: temperate,Columbia (Canada),Point data collected specifically for this study,Forestry,"Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology, Management",NA,NA,NA
AM,Influence of spatial temperature estimation method in ecohydrologic modeling in the Western Oregon Cascades,181,Impacts,Climate change implications,Point or plot scale,"100 km2 - 1,500 km2",HJ Andrew Experimental Forest,Forest: temperate,0900 - Willamette,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Geography,"Temperature, Streamflow/stream forecasting, Water quantity, Forest Ecology, Carbon Emissions",NA,NA,NA
CMC,Influence of spatial temperature estimation method in ecohydrologic modeling in the Western Oregon Cascades,181,Impacts,Climate change implications,Point or plot scale,"100 km2 - 1,500 km2",HJ Andrews EF,Forest: temperate,0900 - Willamette,"Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Geography,"Temperature, Streamflow/stream forecasting, Water quantity, Forest Ecology, Carbon Emissions",NA,NA,"We have shown that how we interpolate temperature in a mountain environment dominated by a rain-snow transition zone signiﬁcantly inﬂuences our estimates of the timing of key hydrologic and ecosystem processes. Spatial and temporal variation in climate forcing is difﬁcult to capture in mountainous terrain due to the high spatial heterogeneity coupled with sparse meteorologic instrumentation [Running et al., 1987; Chen et al., 1999; Minder et al., 2010]"
CMC,"Climate change or climate cycles? Snowpack trends in the Olympic and Cascade Mountains, Washington, USA",182,Impacts,"Observed impacts, Climate change implications",Point or plot scale,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","Washington, Oregon","Alpine/tundra, Forest: temperate","0200 - Upper Columbia, 0300 - Yakima, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes","Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Management","We used intervention analysis to determine whether snow water equivalent (SWE) in 25 long-term snow courses within the Olympic and Cascade
Mountains are more accurately described by OLS (to represent gradual change), stationary (to represent no change), or step-stationary (to represent climate cycling) models.","There are 95 official NRCS snow courses in Washington; 25 of these are located in the western side of the state (i.e., the Olympic or Cascade Mountains) that have been sampled annually for the 1 April reporting date for at least 40 years and have a period of record that extends at least up until the mid-2000s or later. Mostly outside of basin.",NA
PE,"Climate change or climate cycles? Snowpack trends in the Olympic and Cascade Mountains, Washington, USA",182,Impacts,"Observed impacts, Climate change implications",Point or plot scale,"1,500 km2 - 25,000 km2 (huc 8 is 1800 km2; latah county is 2800 km2)","44.0265026,-124.2818071","Alpine/tundra, Forest: temperate","0200 - Upper Columbia, 0300 - Yakima, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes","Gridded or polygons, Points in an observation network (e.g. SNOTEL)",Hydrology,"Temperature, Precipitation, Snow, Streamflow/stream forecasting, Water quantity, Management",NA,NA,NA
AM,Multi-scale Drivers of Spatial Variation in Old-Growth Forest Carbon Density Disentangled with Lidar and an Individual-Based Landscape Model,183,Mitigation,NA,Point or plot scale,"100 km2 - 1,500 km2","44.2331797,-122.1936856",Forest: temperate,0900 - Willamette,"Gridded or polygons, Point data NOT collected specifically for this study, Points in an observation network (e.g. SNOTEL)","Forestry, Ecology","Forest Ecology, Carbon Emissions, Carbon cycling; Biogeochemistry",NA,NA,NA
CMC,Multi-scale Drivers of Spatial Variation in Old-Growth Forest Carbon Density Disentangled with Lidar and an Individual-Based Landscape Model,183,Mitigation,NA,Point or plot scale,"100 km2 - 1,500 km2","N44.2, W122.2 HJ Andrews EF",Forest: temperate,0900 - Willamette,"Gridded or polygons, Point data NOT collected specifically for this study, Points in an observation network (e.g. SNOTEL)","Forestry, Ecology","Forest Ecology, Carbon Emissions, Carbon cycling; Biogeochemistry",Seems like a key paper,NA,"Notwithstanding the distinct environmental gradients in our mountainous study area only 55.3% of this variation was explained by environmental drivers, with radiation and soil physical properties having a stronger inﬂuence than temperature and precipitation. The remaining variation in C stocks was largely attributable to emerging properties of stand dynamics (that is, stand structure and composition)."
AM,Climate and weather influences on spatial temporal patterns of mountain pine beetle populations in Washington and Oregon,184,Impacts,Climate change implications,900m2 - 1km2,"Larger than 40,000km2 but less than the Pacific Northwest (e.g., Idaho is 216,000 km2)","Washington, Oregon",Forest: temperate,"0103 - Spokane, 0200 - Upper Columbia, 0300 - Yakima, 0501 - Middle Snake - Boise, 0502 - Middle Snake - Powder, 0601 - Lower Snake, 0701 - Middle Columbia, 0702 - John Day, 0703 - Deschutes, 0800 - Lower Columbia, 0900 - Willamette",Gridded or polygons,Ecology,"Temperature, Precipitation, Pests and disease, Range Shifts, Timber production/Silviculture, Forest Ecology, Management",NA,NA,NA
